,PathwayID,Definition,OriginalWebSite,Fisher-Pvalue,SelectionCounts,SelectionSize,Count,Size,FDR,Enrichment_Score,GeneRatio,Genes,old_locus
0,syn03010,Ribosome,http://www.genome.jp/kegg-bin/show_pathway?syn03010+ssl3445+sll1822+sll1821+sll1817+sll1816+sll1813+sll1812+sll1811+sll1810+sll1809+sll1808+sll1807+sll1806+sll1805+sll1804+sll1803+ssl3432+sll1799+ssl2233+sll1745+sll1744+slr1356+sll1767+sll1260+sll1244+sll1097+sll1096+sll0767,5.602343e-11,28,160,49,941,6.442695e-09,10.25163,0.175,SGL_RS05710//SGL_RS05715//SGL_RS05720//SGL_RS05740//SGL_RS05745//SGL_RS05765//SGL_RS05770//SGL_RS05775//SGL_RS05780//SGL_RS05785//SGL_RS05790//SGL_RS05795//SGL_RS05800//SGL_RS05815//SGL_RS05820//SGL_RS05825//SGL_RS05830//SGL_RS05850//SGL_RS05940//SGL_RS06200//SGL_RS06205//SGL_RS07010//SGL_RS07595//SGL_RS10005//SGL_RS10150//SGL_RS10935//SGL_RS10940//SGL_RS13065,"ssl3445,sll1822,sll1821,sll1817,sll1816,sll1813,sll1812,sll1811,sll1810,sll1809,sll1808,sll1807,sll1806,sll1805,sll1804,sll1803,ssl3432,sll1799,ssl2233,sll1745,sll1744,slr1356,sll1767,sll1260,sll1244,sll1097,sll1096,sll0767"
1,syn00195,Photosynthesis,http://www.genome.jp/kegg-bin/show_pathway?syn00195+slr0737+sll1327+sll1326+sll1324+sll1322+ssr3451+slr1834+slr1835+sll1317+sll0851+sll0849+slr1329+sll0819+smr0010+sll1382+slr1643+sll0258+slr0150+ssl0563+sml0001+slr0342+sll0199+slr0906+slr0927,9.87581e-06,24,160,60,941,0.0005678591,5.005427,0.15,SGL_RS02435//SGL_RS02670//SGL_RS02675//SGL_RS02685//SGL_RS02700//SGL_RS04530//SGL_RS06305//SGL_RS06310//SGL_RS07315//SGL_RS08200//SGL_RS08205//SGL_RS09705//SGL_RS09810//SGL_RS10475//SGL_RS10530//SGL_RS11630//SGL_RS11935//SGL_RS12135//SGL_RS12620//SGL_RS12880//SGL_RS13200//SGL_RS13610//SGL_RS14825//SGL_RS16825,"slr0737,sll1327,sll1326,sll1324,sll1322,ssr3451,slr1834,slr1835,sll1317,sll0851,sll0849,slr1329,sll0819,smr0010,sll1382,slr1643,sll0258,slr0150,ssl0563,sml0001,slr0342,sll0199,slr0906,slr0927"
2,syn01210,2-Oxocarboxylic acid metabolism,http://www.genome.jp/kegg-bin/show_pathway?syn01210+slr2088+sll1981+slr0186+sll0402+sll0080+slr0032+slr0549+sll1363+slr0657+slr0665+sll1470+slr0452,2.8850590000000004e-05,12,160,21,941,0.001105939,4.539845,0.075,SGL_RS09105//SGL_RS09150//SGL_RS12850//SGL_RS13785//SGL_RS15325//SGL_RS16510//SGL_RS16920//SGL_RS17215//SGL_RS17290//SGL_RS17360//SGL_RS17620//SGL_RS18015,"slr2088,sll1981,slr0186,sll0402,sll0080,slr0032,slr0549,sll1363,slr0657,slr0665,sll1470,slr0452"
3,syn03018,RNA degradation,http://www.genome.jp/kegg-bin/show_pathway?syn03018+slr1129+sll1043+slr2076+sll0170+sll0058+slr0083+slr0551+slr0752,0.0007100578,8,160,14,941,0.02041416,3.148706,0.05,SGL_RS02280//SGL_RS02295//SGL_RS06170//SGL_RS12750//SGL_RS13940//SGL_RS15320//SGL_RS16930//SGL_RS17675,"slr1129,sll1043,slr2076,sll0170,sll0058,slr0083,slr0551,slr0752"
4,syn00710,Carbon fixation in photosynthetic organisms,http://www.genome.jp/kegg-bin/show_pathway?syn00710+sll1070+slr2094+sll0807+sll1525+sll0018+slr0009+slr0012+sll0891+sll1342,0.001161724,9,160,18,941,0.02583939,2.934897,0.05625,SGL_RS05660//SGL_RS09170//SGL_RS09950//SGL_RS11625//SGL_RS13385//SGL_RS13415//SGL_RS13425//SGL_RS14885//SGL_RS17045,"sll1070,slr2094,sll0807,sll1525,sll0018,slr0009,slr0012,sll0891,sll1342"
5,syn00290,"Valine, leucine and isoleucine biosynthesis",http://www.genome.jp/kegg-bin/show_pathway?syn00290+slr2088+sll1981+slr0186+slr0032+sll1363+sll1470+slr0452,0.001348142,7,160,12,941,0.02583939,2.870264,0.04375,SGL_RS09105//SGL_RS09150//SGL_RS12850//SGL_RS16510//SGL_RS17215//SGL_RS17620//SGL_RS18015,"slr2088,sll1981,slr0186,slr0032,sll1363,sll1470,slr0452"
6,syn01230,Biosynthesis of amino acids,http://www.genome.jp/kegg-bin/show_pathway?syn01230+sll1027+slr1793+sll0934+slr1756+sll1931+sll1070+sll1688+slr2088+sll1981+sll0807+slr0186+sll0018+sll0402+sll0080+sll0469+slr0032+slr0543+slr0549+slr0550+sll1342+sll1363+slr0657+slr0665+slr1560+sll1470+slr0752+slr0452,0.0019631270000000003,27,160,94,941,0.03225137,2.707052,0.16875,SGL_RS02895//SGL_RS03080//SGL_RS03435//SGL_RS04340//SGL_RS04690//SGL_RS05660//SGL_RS07980//SGL_RS09105//SGL_RS09150//SGL_RS09950//SGL_RS12850//SGL_RS13385//SGL_RS13785//SGL_RS15325//SGL_RS15555//SGL_RS16510//SGL_RS16740//SGL_RS16920//SGL_RS16925//SGL_RS17045//SGL_RS17215//SGL_RS17290//SGL_RS17360//SGL_RS17420//SGL_RS17620//SGL_RS17675//SGL_RS18015,"sll1027,slr1793,sll0934,slr1756,sll1931,sll1070,sll1688,slr2088,sll1981,sll0807,slr0186,sll0018,sll0402,sll0080,sll0469,slr0032,slr0543,slr0549,slr0550,sll1342,sll1363,slr0657,slr0665,slr1560,sll1470,slr0752,slr0452"
7,syn00196,Photosynthesis - antenna proteins,http://www.genome.jp/kegg-bin/show_pathway?syn00196+sll0928+sll1580+sll1579+slr2067+slr1986+slr0335,0.02888387,6,160,15,941,0.37569579999999997,1.539345,0.0375,SGL_RS03465//SGL_RS05235//SGL_RS05240//SGL_RS08580//SGL_RS08585//SGL_RS12650,"sll0928,sll1580,sll1579,slr2067,slr1986,slr0335"
8,syn01200,Carbon metabolism,http://www.genome.jp/kegg-bin/show_pathway?syn01200+slr1793+sll1931+sll0990+sll1070+slr2094+sll0807+sll1525+slr1934+sll0753+sll0018+slr0009+slr0012+sll0891+sll0469+slr0301+sll1342+slr0665+slr0752+sll0573,0.03252898,19,160,74,941,0.37569579999999997,1.487729,0.11875,SGL_RS03080//SGL_RS04690//SGL_RS04900//SGL_RS05660//SGL_RS09170//SGL_RS09950//SGL_RS11625//SGL_RS12345//SGL_RS13155//SGL_RS13385//SGL_RS13415//SGL_RS13425//SGL_RS14885//SGL_RS15555//SGL_RS15890//SGL_RS17045//SGL_RS17360//SGL_RS17675//SGL_RS18255,"slr1793,sll1931,sll0990,sll1070,slr2094,sll0807,sll1525,slr1934,sll0753,sll0018,slr0009,slr0012,sll0891,sll0469,slr0301,sll1342,slr0665,slr0752,sll0573"
9,syn00261,Monobactam biosynthesis,http://www.genome.jp/kegg-bin/show_pathway?syn00261+slr0549+slr0550+slr0657,0.03705302,3,160,5,941,0.37569579999999997,1.431176,0.01875,SGL_RS16920//SGL_RS16925//SGL_RS17290,"slr0549,slr0550,slr0657"
10,syn03020,RNA polymerase,http://www.genome.jp/kegg-bin/show_pathway?syn03020+sll1789+sll1787+slr1265,0.03705302,3,160,5,941,0.37569579999999997,1.431176,0.01875,SGL_RS05925//SGL_RS05930//SGL_RS10640,"sll1789,sll1787,slr1265"
11,syn00270,Cysteine and methionine metabolism,http://www.genome.jp/kegg-bin/show_pathway?syn00270+sll1234+sll0135+sll0402+sll0891+slr0032+slr0549+slr0657,0.039203039999999995,7,160,20,941,0.37569579999999997,1.40668,0.04375,SGL_RS09665//SGL_RS12240//SGL_RS13785//SGL_RS14885//SGL_RS16510//SGL_RS16920//SGL_RS17290,"sll1234,sll0135,sll0402,sll0891,slr0032,slr0549,slr0657"
